Author1,Author2,Label
166619,128118,advisor
114379,122638,advisor
122454,152272,advisee
169239,119027,advisor
107260,121757,colleague
97354,135592,advisor
111174,163003,advisee
96906,160782,colleague
164748,145016,colleague
90948,93631,advisee
151809,100901,advisee
134377,104568,colleague
106474,162782,advisor
160188,142325,advisee
111890,168243,colleague
130269,122072,advisor
148052,140231,advisor
159420,147918,advisee
127142,156082,advisee
89683,159110,advisee
93088,95230,advisee
109572,97731,advisee
116947,108758,advisor
114774,97201,advisor
141196,114975,colleague
132198,170311,colleague
156655,146609,colleague
164743,151127,advisee
123007,97986,advisor
163420,111364,advisor
158459,145538,colleague
140602,167747,advisor
127147,106882,advisee
102570,162796,advisor
123112,96566,advisor
155269,91408,advisee
112431,166442,advisor
124703,104059,advisor
148172,118002,advisee
127755,143449,advisee
110018,126376,advisor
118521,117943,advisor
171027,98297,advisor
163222,113618,advisor
155768,141537,advisee
118133,103421,advisor
93088,114028,advisee
119822,91451,advisor
147421,164661,advisor
146426,106979,advisor
154272,145538,colleague
139315,150400,advisor
127536,121373,colleague
128445,160620,advisee
93788,102499,advisor
135465,127562,advisee
122454,162420,advisee
103282,141636,advisee
123833,170473,advisee
171448,162767,advisor
165851,98464,advisor
89985,135577,advisor
141982,115520,advisee
115375,89452,advisee
166514,97643,advisor
163539,109757,colleague
162782,137004,advisee
151512,153969,advisor
135644,125548,colleague
161764,91900,advisee
149330,151247,advisee
96885,147744,advisee
136414,114369,advisor
135289,102710,advisor
157640,170449,advisor
99538,158826,advisee
102075,89258,advisor
137941,92185,advisor
103282,112986,advisee
113634,164058,advisee
129119,104865,advisee
128721,134387,advisee
130707,152223,advisor
162767,171448,advisee
94445,144084,advisee
140830,128574,advisee
147371,150021,advisee
157150,164155,advisor
128102,157343,advisor
91368,150804,colleague
109001,141783,advisor
97986,159920,advisee
144506,94380,colleague
89465,115100,advisee
111394,142205,advisor
158459,111154,advisor
129480,154103,advisee
126561,126009,advisor
160395,108606,advisor
122731,165788,colleague
105127,164155,advisor
97586,99071,advisee
149498,112736,advisee
107658,96885,advisee
108606,127832,advisee
108286,160401,advisor
139441,101314,advisee
120187,132342,advisor
122781,123581,advisee
127461,141257,colleague
118133,112278,advisee
147594,100957,advisee
161002,116263,advisee
135232,142205,advisor
160209,158877,colleague
154120,117834,colleague
160408,116797,advisee
152875,97321,advisor
141635,150081,colleague
119888,167420,advisor
148739,156213,advisor
114759,117394,advisor
112986,118875,colleague
117615,168430,colleague
93549,139800,advisor
152264,109465,advisor
143772,143381,advisee
89226,94650,advisor
148892,123833,advisor
94936,102371,advisor
111787,110721,colleague
125024,171009,advisee
144380,142775,advisor
136044,97586,advisor
147327,142281,advisor
135771,164035,advisee
166293,116009,advisor
152629,160399,advisor
89465,106814,advisee
164743,157219,advisee
127461,139675,advisee
151622,143804,colleague
138658,162562,colleague
97643,143386,advisee
168243,111890,colleague
155609,125466,advisor
150159,168808,advisor
153969,160931,advisee
104459,150400,advisor
97830,100819,advisor
167155,118208,advisee
117283,153969,advisor
165408,153503,advisee
102780,140393,advisor
96828,107360,colleague
155806,160395,colleague
154052,135975,colleague
125472,89380,advisor
165408,99157,advisee
146432,158297,advisee
160673,109572,advisor
164882,133159,advisee
101823,166442,advisor
138012,145233,colleague
122670,97388,advisor
109698,165106,colleague
104763,156034,advisor
114369,158959,advisee
140439,156213,advisor
103442,128205,advisee
141064,93285,colleague
105541,94651,advisee
158297,146531,colleague
150032,146157,colleague
139785,94327,advisee
105541,96081,advisee
119071,108530,advisee
94374,138263,advisor
159805,117394,advisor
132726,94057,advisee
151625,129807,advisee
170449,113846,advisee
162157,88977,advisor
147846,155105,advisee
147734,153275,advisee
167269,130331,advisor
89193,170449,advisor
148230,143631,advisor
131798,167911,advisor
146971,163701,advisor
122454,122976,advisee
99997,93701,advisor
131951,128743,advisee
140091,138943,advisee
132309,162228,advisor
90172,142484,advisor
148090,155806,colleague
169727,89380,advisor
124153,136118,advisee
96607,157119,colleague
118280,103095,advisor
91900,161764,advisor
157027,122454,advisor
111787,126454,advisor
137382,125706,advisee
110959,101124,advisor
159188,140515,advisee
90657,162120,advisee
134043,89465,advisor
153969,171894,advisee
131312,121373,colleague
137559,113233,advisor
104509,99916,advisee
167375,99009,advisor
127561,123833,advisor
113639,136399,advisee
141636,124936,colleague
164882,93642,advisee
119455,108988,advisor
132500,93701,advisor
149498,132083,advisee
127871,165276,advisee
155064,130164,advisee
128301,151008,colleague
121686,146209,advisee
106979,146426,advisee
100432,106836,advisee
152224,168619,advisee
110879,171484,advisor
135072,140730,advisor
147289,135250,advisor
126454,110721,advisee
92777,134037,advisor
165106,109698,colleague
94530,107473,advisee
142211,106347,advisor
96770,164290,advisor
168499,153734,colleague
160713,166865,advisor
99634,143528,colleague
145233,91454,colleague
161472,135490,advisee
102802,138799,advisor
93865,136529,advisor
97404,169946,advisor
107570,159130,colleague
107844,115053,colleague
132726,102230,advisee
128837,92162,advisee
142810,113641,advisee
109881,129396,advisee
167734,124556,advisee
134468,128445,advisor
136147,151442,advisor
141366,126568,advisor
135975,112951,colleague
138744,159805,colleague
115509,135454,colleague
170449,110791,advisee
150657,120846,advisor
153969,117283,advisee
115512,169836,advisor
105935,126819,advisee
120771,116498,advisee
127936,103282,advisor
165723,115375,advisor
166720,103627,advisee
154028,141749,advisee
89312,120620,advisee
151578,141836,advisee
150400,104657,advisee
96393,120276,advisor
92798,113433,advisee
98051,160077,colleague
126226,98306,colleague
103380,169028,advisor
94327,139785,advisor
136919,165408,advisor
154075,171789,advisor
136659,121422,advisor
134111,116392,advisor
103036,148090,colleague
101298,171280,advisee
168808,90378,advisee
150400,102189,advisee
112246,101530,advisee
130738,104305,advisor
170834,170301,advisee
133471,111286,advisee
97586,128884,advisee
122856,100535,advisee
133159,164882,advisor
100432,114511,advisee
102160,126389,advisee
142810,114909,advisee
170966,109486,advisor
163975,98464,advisor
97388,96458,advisee
154076,126494,advisor
139332,165686,advisee
150422,132726,advisor
107658,115299,advisee
122781,118890,advisee
107833,120371,colleague
113079,90646,advisor
167420,132915,advisee
101314,139441,advisor
99404,133471,advisor
94380,144506,colleague
107658,99001,advisee
135999,165015,advisee
139785,104225,advisee
108801,126275,advisor
146267,111762,colleague
94650,90421,advisee
96458,122670,colleague
133471,121311,advisee
138177,151968,colleague
117653,119059,advisee
158524,150400,advisor
106635,144706,advisee
167734,96976,advisee
165719,144426,advisee
111891,104305,advisor
94739,134801,advisee
142484,150081,colleague
145006,164664,advisor
157353,93612,advisee
119931,125024,advisor
166470,94380,advisee
171675,170449,advisor
95230,93088,advisor
143631,121628,advisor
96624,142205,advisor
135625,167241,advisor
120846,119515,advisee
125706,137382,advisor
130190,131639,advisor
103134,136934,advisee
154831,117830,advisor
145259,97044,advisor
163759,118616,advisor
153482,143497,colleague
147601,157385,advisee
104302,151079,advisee
140231,107362,advisee
123833,117219,advisee
99988,96724,advisee
140170,104743,advisee
88977,147953,advisee
133152,115145,advisor
90516,153218,advisor
168603,171484,advisor
159157,141045,advisee
152755,120846,advisor
108530,119071,advisor
113334,99216,advisee
144894,98306,advisee
153503,165408,advisor
